YYY/MM/DD,HH:mm:SS.ss,ET,MAG,M,LAT,LON,DEPTH,Q,EVID,NPH,NGRM,Log10 MAG,Time (seconds),Day,Seconds from start,Lag,Waiting time (minutes),Time of occurrence (minutes),Count,Exponential Density Waiting time (minutes)
2014/01/01,3:35:53.43 AM,le,1.01,l,34.206,-117.588,13.5,A,11408474,38,0,0.0043213738,777205.8,1,777205.8,751035.6,7.2695,215.8905,1,0.0218018161
2014/01/01,4:05:45.31 AM,le,0.82,l,33.346,-116.34,15,A,11408490,43,0,-0.086186148,884718.6,1,884718.6,833120.4,14.332833333,245.75516667,2,0.018090658
2014/01/01,12:01:55.73 PM,le,0.75,l,36.102,-117.865,5.3,A,11408650,13,0,-0.124938737,2598943.8,1,2598943.8,2497890,28.0705,721.92883333,3,0.0125846396
2014/01/02,4:57:07.01 AM,le,1.28,l,36.136,-118.071,0.4,A,11409002,24,0,0.1072099696,1069620.6,2,6253620.6,6174712.8,21.918833333,1737.1168333,4,0.0148053763
2014/01/02,7:28:58.49 AM,le,0.51,l,33.93,-116.004,13.7,B,37166853,8,0,-0.292429824,1616309.4,2,6800309.4,6789018,3.1365,1888.9748333,5,0.0243170552
2014/01/02,9:47:02.20 AM,le,0.22,l,33.498,-116.489,16,A,11409122,25,0,-0.657577319,2113332,2,7297332,7118259,49.7425,2027.0366667,6,0.007098978
2014/01/02,10:12:54.25 AM,le,0.86,l,33.492,-116.487,16,A,11409154,46,0,-0.065501549,2206455,2,7390455,7389508.8,0.2628333333,2052.9041667,7,0.026234986
2014/01/02,5:12:48.89 PM,le,0.4,h,33.187,-115.629,6.4,C,11409282,11,0,-0.397940009,3718133.4,2,8902133.4,8827749.6,20.662166667,2472.8148333,8,0.0153051401
2014/01/02,5:17:21.16 PM,le,0.28,l,36.068,-117.884,7.2,A,11409290,8,0,-0.552841969,3734469.6,2,8918469.6,8902133.4,4.5378333333,2477.3526667,9,0.0234332943
2014/01/02,5:28:04.68 PM,le,0.2,h,33.218,-115.631,0,C,11409314,12,0,-0.698970004,3773080.8,2,8957080.8,8940749.4,4.5365,2488.078,10,0.0234341198
2014/01/02,7:21:09.53 PM,qb,0.52,l,35.925,-117.174,0,C,11409330,8,0,-0.283996656,4180171.8,2,9364171.8,9072198,81.103833333,2601.1588333,11,0.0031001607
2014/01/03,12:42:28.02 AM,le,1.98,l,33.929,-116.009,11.8,A,11409418,73,0,0.2966651903,152881.2,3,10520881.2,10406644.2,31.7325,2922.467,12,0.0114242133
2014/01/03,1:53:56.86 AM,le,1.99,l,32.344,-115.373,9.8,A,11409466,14,0,0.2988530764,410211.6,3,10778211.6,10763880,3.981,2993.9476667,13,0.023780553
2014/01/03,1:59:29.88 AM,le,0.24,l,33.636,-116.713,14.6,A,11409474,29,0,-0.619788758,430192.8,3,10798192.8,10778211.6,5.5503333333,2999.498,14,0.022814809
2014/01/03,4:54:21.76 AM,le,0.32,l,33.505,-116.47,10.7,A,11409482,34,0,-0.494850022,1059705.6,3,11427705.6,10798192.8,174.86466667,3174.3626667,15,0.0002604097
2014/01/03,5:17:08.41 AM,le,0.22,l,33.462,-116.415,14.6,A,11409514,36,0,-0.657577319,1141704.6,3,11509704.6,11503544.4,1.7111666667,3197.1401667,16,0.0252501503
2014/01/03,5:35:55.87 AM,le,1.18,l,33.461,-116.424,13.9,A,11409530,65,0,0.0718820073,1209352.2,3,11577352.2,11550673.2,7.4108333333,3215.9311667,17,0.0217205661
2014/01/03,7:47:59.92 PM,le,3.01,l,33.982,-118.453,11.2,A,11409738,141,0,0.4785664956,4276795.2,3,14644795.2,14615598,8.1103333333,4067.9986667,18,0.0213228724
2014/01/04,12:45:16.98 PM,le,0.98,l,35.654,-118.457,9.7,A,11410010,16,0,-0.008773924,2755018.8,4,18307018.8,18225556.8,22.628333333,5085.283,19,0.0145304575
2014/01/04,8:37:37.38 PM,le,2.09,l,32.872,-115.501,9,A,11410114,29,0,0.3201462861,4455442.8,4,20007442.8,19897284,30.599666667,5557.623,20,0.0117712724
2014/01/05,12:28:35.09 AM,le,1.28,l,36.145,-118.066,6.6,C,11410162,17,0,0.1072099696,102905.4,5,20838905.4,20720317.8,32.941,5788.5848333,21,0.0110652458
2014/01/05,7:06:18.78 AM,le,1.38,l,33.655,-116.729,16.2,A,11410282,64,0,0.1398790864,1534726.8,5,22270726.8,22270534.2,0.0535,6186.313,22,0.0263804706
2014/01/05,7:17:13.28 AM,le,0.7,h,33.162,-115.627,2.8,B,11410338,10,0,-0.15490196,1573996.8,5,22309996.8,22309034.4,0.2673333333,6197.2213333,23,0.0262318674
2014/01/05,1:17:45.75 PM,le,0.82,l,33.629,-116.72,18.5,A,11410418,40,0,-0.086186148,2871945,5,23607945,23162057.4,123.85766667,6557.7625,24,0.0010019945
2014/01/05,5:44:52.46 PM,le,1.21,l,33.547,-116.667,10.4,A,11410450,47,0,0.0827853703,3833547.6,5,24569547.6,24106170.6,128.71583333,6824.8743333,25,0.0008813068
2014/01/05,6:55:48.06 PM,le,1.11,l,33.712,-116.765,18,A,11410466,50,0,0.0453229788,4088883.6,5,24824883.6,24574705.2,69.494,6895.801,26,0.0042129369
