Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Alex Abrines\abrinal01,SG,25,OKC,31,2,588,56,157,0.357,41,127,0.323,15,30,0.5,0.487,12,13,0.923,5,43,48,20,17,6,14,53,165
2,Quincy Acy\acyqu01,PF,28,PHO,10,0,123,4,18,0.222,2,15,0.133,2,3,0.667,0.278,7,10,0.7,3,22,25,8,1,4,4,24,17
3,Jaylen Adams\adamsja01,PG,22,ATL,10,0,45,4,12,0.333,3,7,0.429,1,5,0.2,0.458,2,2,1,1,3,4,6,3,1,2,4,13
4,Steven Adams\adamsst01,C,25,OKC,54,54,1830,343,563,0.609,0,1,0,343,562,0.61,0.609,120,218,0.55,244,272,516,89,84,41,87,138,806
5,Bam Adebayo\adebaba01,C,21,MIA,55,6,1210,161,288,0.559,1,9,0.111,160,279,0.573,0.561,106,149,0.711,112,256,368,107,41,42,76,140,429
6,Deng Adel\adelde01,SF,21,CLE,11,3,158,9,30,0.3,5,20,0.25,4,10,0.4,0.383,2,2,1,2,11,13,4,1,4,5,11,25
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,0,22,3,10,0.3,0,4,0,3,6,0.5,0.3,1,2,0.5,1,3,4,6,2,0,2,4,7
8,LaMarcus Aldridge\aldrila01,C,33,SAS,58,58,1896,476,935,0.509,5,23,0.217,471,912,0.516,0.512,261,309,0.845,182,340,522,148,30,71,109,129,1218
9,Rawle Alkins\alkinra01,SG,21,CHI,2,0,4,1,4,0.25,1,1,1,0,3,0,0.375,0,0,,3,0,3,2,1,0,0,0,3
10,Grayson Allen\allengr01,SG,23,UTA,28,1,276,34,109,0.312,19,69,0.275,15,40,0.375,0.399,27,36,0.75,1,10,11,17,4,3,16,30,114
11,Jarrett Allen\allenja01,C,20,BRK,56,56,1496,242,419,0.578,6,36,0.167,236,383,0.616,0.585,139,187,0.743,142,338,480,84,32,85,77,126,629
12,Kadeem Allen\allenka01,SG,26,NYK,8,1,178,27,56,0.482,6,12,0.5,21,44,0.477,0.536,14,19,0.737,4,20,24,32,5,1,5,21,74
13,Al-Farouq Aminu\aminual01,PF,28,POR,56,56,1633,175,402,0.435,71,200,0.355,104,202,0.515,0.524,103,122,0.844,85,358,443,71,50,21,46,107,524
14,Justin Anderson\anderju01,SF,25,ATL,29,0,238,31,81,0.383,8,39,0.205,23,42,0.548,0.432,16,21,0.762,11,33,44,12,11,7,13,26,86
15,Kyle Anderson\anderky01,SF,25,MEM,43,40,1281,150,276,0.543,9,34,0.265,141,242,0.583,0.56,37,64,0.578,48,203,251,128,54,37,58,112,346
16,Ryan Anderson\anderry01,PF,30,TOT,16,8,280,19,60,0.317,7,34,0.206,12,26,0.462,0.375,11,14,0.786,14,31,45,18,3,1,12,23,56
17,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0,3,0,0,0,,0,3,0,0,0,0,,1,2,3,1,0,1,1,0,0
18,Giannis Antetokounmpo\antetgi01,PF,24,MIL,52,52,1719,519,892,0.582,29,128,0.227,490,764,0.641,0.598,340,477,0.713,117,537,654,306,73,75,202,179,1407
19,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,49,121,0.405,21,64,0.328,28,57,0.491,0.492,15,22,0.682,9,45,54,5,4,7,8,32,134
20,OG Anunoby\anunoog01,SF,21,TOR,47,5,940,127,293,0.433,48,148,0.324,79,145,0.545,0.515,19,42,0.452,37,105,142,33,31,11,34,101,321
21,Ryan Arcidiacono\arcidry01,PG,24,CHI,56,24,1368,106,256,0.414,61,169,0.361,45,87,0.517,0.533,47,52,0.904,14,116,130,193,53,2,45,117,320
22,Trevor Ariza\arizatr01,SF,33,TOT,53,53,1878,230,581,0.396,115,343,0.335,115,238,0.483,0.495,94,118,0.797,35,258,293,201,81,13,87,103,669
23,D.J. Augustin\augusdj01,PG,31,ORL,57,57,1583,208,447,0.465,90,213,0.423,118,234,0.504,0.566,145,166,0.873,28,96,124,277,33,0,87,82,651
24,Deandre Ayton\aytonde01,C,20,PHO,52,51,1610,377,642,0.587,0,4,0,377,638,0.591,0.587,103,133,0.774,164,384,548,102,42,49,96,149,857
25,Dwayne Bacon\bacondw01,SG,23,CHO,24,0,256,44,83,0.53,13,24,0.542,31,59,0.525,0.608,10,12,0.833,3,36,39,17,3,1,12,27,111
26,Marvin Bagley\baglema01,PF,19,SAC,42,1,1017,217,422,0.514,13,53,0.245,204,369,0.553,0.53,113,164,0.689,100,193,293,40,23,42,70,88,560
27,Ron Baker\bakerro01,SG,25,TOT,15,0,152,4,20,0.2,1,13,0.077,3,7,0.429,0.225,5,6,0.833,1,10,11,15,6,1,5,18,14
28,Wade Baldwin\baldwwa01,PG,22,POR,16,0,94,10,33,0.303,2,9,0.222,8,24,0.333,0.333,8,11,0.727,2,13,15,12,1,2,14,11,30
29,Lonzo Ball\balllo01,PG,21,LAL,47,45,1423,185,456,0.406,75,228,0.329,110,228,0.482,0.488,20,48,0.417,54,197,251,255,69,19,103,114,465
30,Mohamed Bamba\bambamo01,C,20,ORL,47,1,766,117,243,0.481,21,70,0.3,96,173,0.555,0.525,37,63,0.587,64,169,233,39,13,64,43,102,292
31,J.J. Barea\bareajo01,PG,34,DAL,38,0,752,161,385,0.418,38,128,0.297,123,257,0.479,0.468,55,78,0.705,13,82,95,211,22,1,72,50,415
32,Harrison Barnes\barneha02,PF-SF,26,TOT,51,51,1651,296,735,0.403,124,322,0.385,172,413,0.416,0.487,171,204,0.838,37,181,218,67,35,11,72,83,887
33,Will Barton\bartowi01,SG,28,DEN,17,12,447,75,181,0.414,27,73,0.37,48,108,0.444,0.489,27,34,0.794,17,60,77,60,5,10,24,36,204
34,Keita Bates-Diop\bateske01,SF,23,MIN,6,0,34,3,11,0.273,0,5,0,3,6,0.5,0.273,0,2,0,0,6,6,0,0,1,1,2,6
35,Nicolas Batum\batumni01,SF,30,CHO,56,56,1753,190,413,0.46,81,208,0.389,109,205,0.532,0.558,59,69,0.855,50,240,290,189,54,30,89,99,520
36,Jerryd Bayless\bayleje01,PG,30,MIN,18,6,391,47,141,0.333,23,70,0.329,24,71,0.338,0.415,7,12,0.583,7,31,38,74,10,1,19,32,124
37,Aron Baynes\baynear01,C,32,BOS,34,10,507,69,148,0.466,16,48,0.333,53,100,0.53,0.52,39,46,0.848,60,87,147,38,6,22,28,82,193
38,Kent Bazemore\bazemke01,SG,29,ATL,43,30,1095,202,462,0.437,61,189,0.323,141,273,0.516,0.503,93,128,0.727,22,139,161,107,69,36,87,111,558
39,Bradley Beal\bealbr01,SG,25,WAS,57,57,2114,529,1119,0.473,143,409,0.35,386,710,0.544,0.537,229,283,0.809,65,226,291,300,81,43,161,170,1430
40,Malik Beasley\beaslma01,SG,22,DEN,56,13,1340,254,503,0.505,117,268,0.437,137,235,0.583,0.621,36,41,0.878,22,117,139,68,37,6,34,88,661
41,Michael Beasley\beaslmi01,PF,30,LAL,26,2,277,75,153,0.49,3,17,0.176,72,136,0.529,0.5,28,39,0.718,13,47,60,25,9,10,27,42,181
42,Marco Belinelli\belinma01,SG,32,SAS,57,1,1295,210,502,0.418,111,288,0.385,99,214,0.463,0.529,92,100,0.92,11,121,132,109,28,8,50,91,623
43,Jordan Bell\belljo01,C,24,GSW,47,2,514,61,117,0.521,0,1,0,61,116,0.526,0.521,14,21,0.667,34,83,117,55,16,35,23,56,136
44,DeAndre' Bembry\bembrde01,SG,24,ATL,57,15,1391,185,430,0.43,37,128,0.289,148,302,0.49,0.473,55,89,0.618,31,205,236,145,71,30,100,136,462
45,Dragan Bender\bendedr01,PF,21,PHO,23,7,289,34,83,0.41,7,44,0.159,27,39,0.692,0.452,16,24,0.667,16,51,67,21,5,3,15,28,91
46,Davis Bertans\bertada01,PF,26,SAS,53,10,1130,148,305,0.485,109,229,0.476,39,76,0.513,0.664,35,40,0.875,18,166,184,66,28,26,32,91,440
47,Patrick Beverley\beverpa01,PG,30,LAC,58,29,1558,135,338,0.399,77,199,0.387,58,139,0.417,0.513,80,103,0.777,49,222,271,207,43,30,60,199,427
48,Khem Birch\birchkh01,C,26,ORL,26,0,276,32,57,0.561,0,1,0,32,56,0.571,0.561,23,28,0.821,27,56,83,17,9,17,8,26,87
49,Bismack Biyombo\biyombi01,C,26,CHO,31,17,470,51,90,0.567,0,0,,51,90,0.567,0.567,35,54,0.648,47,103,150,18,8,34,18,63,137
50,Nemanja Bjelica\bjeline01,PF,30,SAC,55,54,1287,206,430,0.479,78,187,0.417,128,243,0.527,0.57,52,67,0.776,91,229,320,106,40,45,68,140,542
51,Antonio Blakeney\blakean01,SG,22,CHI,41,0,579,120,284,0.423,32,70,0.457,88,214,0.411,0.479,38,56,0.679,6,59,65,22,10,8,25,26,310
52,Eric Bledsoe\bledser01,PG,29,MIL,55,55,1609,338,685,0.493,87,269,0.323,251,416,0.603,0.557,119,154,0.773,55,196,251,302,83,22,114,119,882
53,Jaron Blossomgame\blossja01,SF,25,CLE,27,4,439,47,106,0.443,10,39,0.256,37,67,0.552,0.491,10,13,0.769,26,72,98,13,7,8,11,20,114
54,Bogdan Bogdanovic\bogdabo01,SG,26,SAC,44,9,1231,242,569,0.425,81,242,0.335,161,327,0.492,0.496,87,109,0.798,20,138,158,178,48,9,80,87,652
55,Bojan Bogdanovic\bogdabo02,SF,29,IND,57,57,1813,343,694,0.494,114,266,0.429,229,428,0.535,0.576,154,186,0.828,28,197,225,101,47,0,90,97,954
56,Jonah Bolden\boldejo01,PF,23,PHI,28,3,350,41,84,0.488,15,47,0.319,26,37,0.703,0.577,8,18,0.444,25,73,98,17,8,24,23,59,105
57,Isaac Bonga\bongais01,PG,19,LAL,8,0,31,2,10,0.2,0,2,0,2,8,0.25,0.2,4,7,0.571,3,3,6,6,3,0,2,3,8
58,Devin Booker\bookede01,SG,22,PHO,43,43,1496,379,818,0.463,91,277,0.329,288,541,0.532,0.519,222,263,0.844,25,143,168,288,38,7,168,140,1071
59,Chris Boucher\bouchch01,PF,26,TOR,16,0,89,21,46,0.457,9,23,0.391,12,23,0.522,0.554,11,13,0.846,11,17,28,0,3,16,2,16,62
60,Avery Bradley\bradlav01,SG,28,TOT,51,51,1526,179,451,0.397,63,181,0.348,116,270,0.43,0.467,20,25,0.8,35,103,138,104,29,16,66,137,441
61,Tony Bradley\bradlto01,C,21,UTA,1,0,9,0,3,0,0,0,,0,3,0,0,0,0,,2,1,3,0,0,0,1,1,0
62,Corey Brewer\breweco01,SF,32,PHI,7,3,140,20,49,0.408,4,14,0.286,16,35,0.457,0.449,9,13,0.692,4,13,17,10,12,2,8,16,53
63,Mikal Bridges\bridgmi01,SF,22,PHO,58,44,1617,171,393,0.435,81,227,0.357,90,166,0.542,0.538,56,71,0.789,38,143,181,102,90,30,47,141,479
64,Miles Bridges\bridgmi02,SF,20,CHO,54,0,1021,135,303,0.446,38,122,0.311,97,181,0.536,0.508,43,59,0.729,31,158,189,54,28,34,31,67,351
65,Isaiah Briscoe\briscis01,PG,22,ORL,33,0,428,40,104,0.385,8,25,0.32,32,79,0.405,0.423,9,18,0.5,2,50,52,70,8,1,23,51,97
66,Ryan Broekhoff\broekry01,SG,28,DAL,25,0,201,26,60,0.433,17,46,0.37,9,14,0.643,0.575,2,2,1,3,22,25,13,2,3,5,13,71
67,Malcolm Brogdon\brogdma01,SG,26,MIL,52,52,1518,311,616,0.505,79,192,0.411,232,424,0.547,0.569,117,124,0.944,54,193,247,172,38,12,80,85,818
68,Dillon Brooks\brookdi01,SF,23,MEM,18,0,330,49,122,0.402,15,40,0.375,34,82,0.415,0.463,22,30,0.733,9,22,31,16,10,4,19,50,135
69,MarShon Brooks\brookma01,SG,30,MEM,29,0,387,76,169,0.45,15,54,0.278,61,115,0.53,0.494,23,33,0.697,12,33,45,25,9,4,21,33,190
70,Bruce Brown\brownbr01,SG,22,DET,48,30,957,88,228,0.386,18,68,0.265,70,160,0.438,0.425,31,45,0.689,33,99,132,63,21,23,34,121,225
71,Jaylen Brown\brownja02,SG,22,BOS,52,23,1346,250,558,0.448,61,192,0.318,189,366,0.516,0.503,96,141,0.681,53,167,220,71,47,26,71,135,657
72,Lorenzo Brown\brownlo01,PG,28,TOR,26,0,212,23,71,0.324,6,28,0.214,17,43,0.395,0.366,3,3,1,5,26,31,28,12,5,16,22,55
73,Sterling Brown\brownst02,SG,23,MIL,45,0,730,95,210,0.452,40,110,0.364,55,100,0.55,0.548,17,23,0.739,24,107,131,58,17,5,30,62,247
74,Troy Brown\browntr01,SF,19,WAS,29,0,208,26,65,0.4,4,15,0.267,22,50,0.44,0.431,14,21,0.667,5,34,39,27,8,1,8,16,70
75,Jalen Brunson\brunsja01,PG,22,DAL,48,16,864,127,294,0.432,31,88,0.352,96,206,0.466,0.485,40,60,0.667,13,83,96,115,23,2,47,68,325
76,Thomas Bryant\bryanth01,C,21,WAS,47,41,897,187,290,0.645,16,43,0.372,171,247,0.692,0.672,61,74,0.824,67,203,270,54,16,37,33,71,451
77,Reggie Bullock\bullore01,SG,27,TOT,46,46,1421,189,457,0.414,117,302,0.387,72,155,0.465,0.542,56,64,0.875,20,109,129,113,27,8,55,82,551
